Time,Time Code,Country Name,Country Code,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Proportion of people living below 50 percent of median income (%) [SI.DST.50MD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL],People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS],"Population, total [SP.POP.TOTL]",GDP (current US$) [NY.GDP.MKTP.CD]
2018,YR2018,Afghanistan,AFG,14.20841885,71.33430481,491.337221382603,..,63.081,..,1.18922812944517,0.393489241600037,44.7775364052837,36743039,18053222687.4126
2018,YR2018,Albania,ALB,6.66844559,351.3012085,5365.48934672897,3.15294480323792,79.184,11.8,4.01934561695576,0.628666281700134,..,2866376,15379509891.7196
2018,YR2018,Algeria,DZA,6.38729763,266.46469116,4577.21029180491,5.81275129318237,76.066,..,1.40000000000002,0.531993925571442,84.3839771689143,42505035,194554483655.528
2018,YR2018,American Samoa,ASM,..,..,12552.0546868861,..,..,..,2.6711185308848,..,..,50908,639000000
2018,YR2018,Andorra,AND,7.37541723,3164.38842773,42819.7745797624,3.2467200756073,..,..,1.58876549046354,..,..,75162,3218419896.9641
2018,YR2018,Angola,AGO,2.58879566,83.89920044,2538.59139143371,2.18351292610168,62.144,22.8,-1.31636168896895,0.360190957784653,26.8222952752658,31297155,79450688259.3664
2018,YR2018,Antigua and Barbuda,ATG,4.84869289,849.83349609,18273.4270684912,2.34948754310608,78.511,..,6.95318609219737,0.578216969966888,..,90926,1661529629.62963
2018,YR2018,Argentina,ARG,10.29146862,1216.10681152,11752.7998922979,4.87773990631104,76.999,20.1,-2.61739646282038,0.61736673116684,..,44654882,524819892360.176
2018,YR2018,Armenia,ARM,10.01,439,4196.00562301769,2.25586795806885,75.064,7.8,5.19999999965324,0.58172595500946,94.3959169115063,2969000,12457940694.7395
2018,YR2018,Aruba,ABW,..,..,30082.1276448186,4.54875898361206,76.072,..,2.39708527621045,..,..,108908,3276184357.5419
2018,YR2018,Australia,AUS,10.05971909,5857.28808594,57196.4220783778,5.40967607498169,82.7487804878049,11.7,2.87846971467883,0.780833959579468,..,24963258,1427809041019.44
2018,YR2018,Austria,AUT,10.35,5337,51194.0749841299,5.22655010223389,81.6926829268293,10.2,2.48422086689928,0.768673121929169,..,8840521,452582294972.775
2018,YR2018,Azerbaijan,AZE,3.84,178,4739.7943123408,2.45543003082275,72.76,..,1.49999999999999,0.62931215763092,..,9939771,47112470051.7701
2018,YR2018,"Bahamas, The",BHS,5.98263836,1898.81311035,32124.4051059669,2.48519492149353,73.806,..,2.62988985993933,..,..,392717,12615800000
2018,YR2018,Bahrain,BHR,4.12745667,1049.0612793,26324.4066549559,2.38893985748291,79.857,..,2.05258864979861,0.663898766040802,..,1503091,39567978723.4043
2018,YR2018,Bangladesh,BGD,2.31622243,44.74491119,1965.24372731467,1.65589129924774,72.567,..,7.31941263014136,0.458553284406662,51.8270206745033,163523103,321362752441.78
2018,YR2018,Barbados,BRB,6.45336485,1173.62854004,20055.915870771,5.13313722610474,77.067,..,-1.17406509373819,..,..,280711,5629916200
2018,YR2018,Belarus,BLR,5.53,342,6360.05310087258,5.38110017776489,74.1756097560976,5.2,3.14919759375005,..,..,9438785,60031173807.7196
2018,YR2018,Belgium,BEL,10.86148262,5176.98388672,47487.2100392561,6.38107013702393,81.5951219512195,9.6,1.87796857219402,0.762759745121002,..,11427054,542638913427.921
2018,YR2018,Belize,BLZ,4.74657917,287.60293579,6031.28139580144,6.12682008743286,73.703,..,1.11057125008675,..,90.265090553217,380226,2293250000
2018,YR2018,Benin,BEN,2.88632059,34.44770432,1151.74096952152,2.93161988258362,60.14,11,6.69725362180888,0.396950334310532,10.9016003612488,12383347,14262408079.7014
2018,YR2018,Bermuda,BMU,..,..,113204.82210838,1.93595468997955,80.825,..,-0.432801300339307,..,..,63831,7225977000
2018,YR2018,Bhutan,BTN,3.2427721,101.69933319,3400.20417159422,5.74371290206909,71.129,..,3.50187183723874,..,89.7074371864136,759759,2583335721.20625
2018,YR2018,Bolivia,BOL,6.60399437,229.22540283,3500.72642189371,8.01587009429932,67.748,20.1,4.22362351118875,..,26.8863368585665,11508368,40287647930.4761
2018,YR2018,Bosnia and Herzegovina,BIH,8.76,528,6047.84584261133,3.89297008514404,77.093,..,3.82749920546897,0.619265019893646,..,3387000,20484053868.9246
2018,YR2018,Botswana,BWA,6.04010344,419.6545105,7407.95940141786,7.90538597106934,65.422,..,4.18809355373698,0.412516504526138,..,2299141,17031943186.1353
2018,YR2018,Brazil,BRA,9.46475029,863.28173828,9300.66164936497,6.08851003646851,75.109,23.6,1.783666761634,0.545723736286163,..,206107261,1916933898038.36
2018,YR2018,British Virgin Islands,VGB,..,..,..,2.42555999755859,75.831,..,..,..,..,34657,..
2018,YR2018,Brunei Darussalam,BRN,2.41289377,753.81182861,30988.1190497851,..,74.712,..,0.0523710544736673,..,..,437810,13566908401.1864
2018,YR2018,Bulgaria,BGR,7.33,690,9436.14479876055,4.04709005355835,74.9634146341464,14.1,2.5494643471818,0.670277237892151,..,7025037,66289266348.6504
2018,YR2018,Burkina Faso,BFA,5.0057807,39.00283813,777.465618514048,5.488609790802,60.047,11.3,6.60456906812341,0.378283977508545,8.94672618396399,20438288,15890066221.2882
2018,YR2018,Burundi,BDI,7.29396152,19.27294159,224.89939239264,5.4135274887085,61.688,..,1.60993542127714,0.38957479596138,6.14440210995612,11859446,2667182199.51333
2018,YR2018,Cabo Verde,CPV,4.73804712,178.77836609,4294.96510456428,4.78792285919189,75.733,..,3.70696458310842,..,..,513415,2205099509.15987
2018,YR2018,Cambodia,KHM,6.06630135,93.01556396,2036.67377566578,2.44785928726196,70.561,..,8.77622376224463,0.490684866905212,74.6373897123768,16274522,33145892168.8958
2018,YR2018,Cameroon,CMR,3.61970162,57.7002182,1610.69641591017,3.03096008300781,61.18,..,3.95551423892049,0.393320679664612,36.1221456297941,24806383,39955552189.795
2018,YR2018,Canada,CAN,10.90542507,5080.32324219,46539.1761570405,4.8889799118042,81.8439024390244,12.2,2.74296343112555,0.800089955329895,..,37072620,1725329192783.02
2018,YR2018,Cayman Islands,CYM,..,..,83865.5531568184,2.16376948356628,..,..,4.26726745249641,..,..,65941,5530178440.71376
2018,YR2018,Central African Republic,CAF,10.99657822,49.17564392,455.243962859534,1.56587600708008,54.369,..,3.78944359275462,..,20.4358266181276,4878657,2220979146.11241
2018,YR2018,Chad,TCD,4.56768799,32.30886459,695.642393675941,2.25947499275208,52.825,10.8,2.37403780037786,0.299028992652893,23.5539352133861,16156531,11239167898.3395
2018,YR2018,Channel Islands,CHI,..,..,60783.3533081111,..,81.375,..,1.12224468139542,..,..,164949,10026153344.8196
2018,YR2018,Chile,CHL,9.22575188,1457.27282715,15659.4808675628,5.473060131073,80.133,..,3.99002947521676,0.665265142917633,..,18893191,295857562991.709
2018,YR2018,China,CHN,5.16790485,504.79974365,9905.40638304527,4.02442407608032,77.744,14.8,6.7497738324959,0.64709883928299,97.074558133054,1402760000,13894907857880.6
2018,YR2018,Colombia,COL,7.62541437,517.15844727,6816.96818309544,..,76.748,20.4,2.56432428277704,0.598653852939606,69.5767777711375,49024465,334198218098.276
2018,YR2018,Comoros,COM,4.90318584,74.43584442,1540.71132257526,..,63.912,..,3.6424511379732,0.400950133800507,..,771590,1188797449.38584
